Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.1rep3_20210628_10.qgd,8833380,29041034,0,56302602,13774566,281377,42757533,0,17222575
STD3uL0.0001rep1_20210701_2.qgd,47727,150449,0,2672531,0,206762,0,0,144369
STD3uL0.0001rep2_20210701_3.qgd,38145,90177,148107,222291,0,246957,0,0,148019
STD3uL0.0001rep3_20210701_4.qgd,51255,0,183668,169691,0,385710,0,0,0
STD3uL0.001rep1_20210701_5.qgd,177046,417290,473592,304565,0,374248,394009,0,446067
STD3uL0.001rep2_20210701_6.qgd,265290,425904,340965,390777,0,461375,296173,0,638369
STD3uL0.001rep3_20210701_7.qgd,221724,412984,411962,344231,0,395363,318028,0,422758
STD3uL0.01rep1_20210701_8.qgd,1750263,4802968,4296653,4627728,2039935,350774,5417880,0,2928546
STD3uL0.01rep2_20210701_9.qgd,2214072,7183234,5906637,6520134,2320830,488330,8822278,0,5592286
STD3uL0.01rep3_20210701_10.qgd,2192409,3955102,3073143,3820155,1337795,381388,4475657,0,3345571
STD3uL0.1rep1_20210701_11.qgd,8332520,22512510,18640955,25132540,10491885,551673,23623035,0,16982450
STD3uL0.1rep2_20210701_12.qgd,10051240,28231188,25659517,32668559,12115387,549317,29754363,0,19454381
STD3uL0.1rep3_20210701_13.qgd,12566241,38238231,34045687,39384383,16741044,580071,43523915,0,26051891
STD3uL0.0001rep1_7232021_01.qgd,0,101375,190216,0,0,509385,70674,0,0
STD3uL0.0001rep2_7232021_02.qgd,0,107171,248081,227827,0,545851,0,0,0
STD3uL0.0001rep3_7232021_03.qgd,0,169642,229174,0,0,858350,450342,0,0
STD3uL0.001rep1_7232021_04.qgd,244370,588912,725473,509869,0,641929,747889,0,471844
STD3uL0.001rep2_7232021_05.qgd,194590,410811,470922,483009,0,421552,675365,0,269740
STD3uL0.001rep3_7232021_06.qgd,484916,905552,1027637,781446,0,1130900,1836420,0,857994
STD3uL0.01rep1_7232021_07.qgd,2622788,8913678,8014395,7622312,3164905,770521,15388965,0,5304192
